1	A0hdYFWWUro	2.5 VÝPOČET VLÁKNINY
2	u5uP4HAMigc	2 6 Příjem Tuku
3	nmNZ_Na_Y8k	3.1 TRENIK VS. STRAVA
4	LLKv29TpU5Q	3.2 FITNES TRÉNINK
5	tuCKpi-xNNc	3.3 AEROBKA
6	QBq2zjKlVtg	3.4 HIIT
7	X83D5t5x8SU	3.5 PERIODIZACE TRÉNINKOVÉHO PLÁNU
8	QD4xrM1A9eo	4.1 MÍRY A JEJICH MĚŘENÍ
9	VyHo6wFnu0k	4.2.2 JAK UPRAVOVAT PLÁN CO TÝDEN - OBJEM/NABÍRÁNÍ
10	vsGdHHX4dDk	4.3 REVERSE DIETING
11	ewiqFzFy7pw	4.4 DOROVNÁVÁNÍ KALORIÍ
12	XzOulZrfpGA	4.5 ÚPRAVY KALORIÍ
13	mpmUdcdhoYw	4.6 SACHARIDOVÉ VLNY
14	HOBhSib2DBQ	5.1 ÚVOD DO SUPLEMENTŮ
15	ixgUU09VlKk	5.2 BCAA
16	2p4_QMnjcns	5.3 CREATINE
17	s8gi1GDA4TY	1.13 MAKROŽIVINY SACHARIDY
18	d9c55pCE_eU	6.1 SNÍDANĚ
19	SEFkmj6GL3c	6.2 VÍCE JÍDEL = RYCHLEJŠÍ SPALOVÁNÍ ?
20	mpSPrsoFyUs	6.3 TYPY DIET A PROČ FUNGUJÍ
21	mBM-d9YLrLU	7.1 ÚVOD DO KALORICKÝCH TABULEK
22	zvQ7Vb24Wgs	7.2 REGISTRACE DO KALORICKÝCH TABULEK
23	Ry-MqgtANsg	7.3 JAK PŘIDAT JÍDLO DO KALORICKÝCH TABULEK
24	Bd4Y4u_bUWs	8.1 LIDÉ UMÍ ZHUBNOUT, ALE NE FORMU UDRŽET
25	sxp-qC_u6CE	8.3 BÍLKOVINY POMÁHAJÍ HUBNUTÍ
26	q_BQjpdxhuo	8.4 VAŠE VÁHA BUDED VŽDY KOLÍSAT
27	69wjtb7ea80	8.2 HUBNEME DÍKY KALORIÍM A VYTVOŘENÍ KALORICKÉHO DEFICITU, NE KVŮLI ZVOLENÉ FORMĚ STRAVOVÁNÍ
28	T5T2iJXq32U	1.1 CO JSOU TO KALORIE
29	8W5b0OJCvfg	1.2 CO JSOU TO BÍLKOVINY
30	TqJ9TtK5lZc	1.4 CO JSOU TO SACHARIDY
31	xiekGwfCt6o	1.5 CO JE TO VLÁKNINA
32	BbDBVXwl37I	1.6 PŘIJEM A VÝDEJ
33	m0wUfeG3kTE	1.7 JoJo EFEKT
34	nzNUaRqsT40	1.8 PRIORITY
35	hLCfNoEh9iU	1.9 KOLIK JÍDEL DENNĚ
36	nYFiIzVUjEQ	1.10 FYZICKÉ AKTIVITY
37	jdPfqq1ulTM	1.11 ROZLOŽENÍ KALORIÍ
38	3GlXiZBr9AQ	1.12 VÁŽENÍ POTRAVIN
39	p6-v_eul58Y	2.1 VÝPOČET KCAL
40	hcjEgedZO9w	2.2 VÝPOČET BÍLKOVIN
41	Rn0zz3cSFDY	2.3 VÝPOČET SACHARIDŮ
42	2smu-xDdtnI	4.2.1 JAK UPRAVOVAT PLÁN CO TÝDEN - DIETA
43	o1eQuhnDdwk	1.3 CO JSOU TO TUKY
44	khdyS0Zt6nE	2.4 VÝPOČET TUKŮ
45	_DmLKhXVNEU	Nováčci poprvé ve fitku
46	gJPqKkdZ4Gw	Nováčci zahřívačka
47	B-1NcX5tXTs	Rozdělení tréninku a priority
48	CZuGx7YfDpQ	Jak efektivně nastavit série, opakování a váhy
49	x1egf49tFuo	Rozbor Těla a Jak Svaly Pracují
50	-BkVc69bHpc	Držení těla a priority ve fitku
51	H0DS7056DK8	Rozhovor - Institut Moderní Výživy
52	SOFJ3_yH8qc	Rozhovor - Miloslav Šindelář (Institut Moderní Výživy)
53	mFgtqzFLe2U	Rozhovor - Lukáš Roubík (Institut Moderní Výživy)
54	y04TC-ve5d8	Můžu pít alkohol a hubnout?
55	140jr0lRNe4	30 denní výzvy
56	a8gg1cA_BFA	Greatest legs Golden Era Bodybuilder TOM PLATZ Interview (CZ Titulky)
57	p7B_sAqmDJI	S tímhle TRENÉREM byste asi cvičit nechtěli
58	wvymFsLTl5A	Jak procvičit biceps - Kladivový úchop
59	C4HBZiXm3aU	Sezení v autě a bolesti zad
60	AHi7KnPGxiY	Jak procvičit biceps - Kladka rovná tyč
61	BrTEy-6Gh8I	Jak procvičit biceps - Kladka lomená tyč široký úchop
62	Wm_vnEhsI-8	Jak procvičit biceps - Kladka nadhmat
63	NCiG2pGVleI	Jak procvičit biceps - Kladka provazy
64	SEaTniP4-Yc	Jak procvičit biceps - Kladka široký kladivový úchop
65	MuYC2R2NrGw	Jak procvičit biceps - Rovná tyč
66	l3niOe3XTJE	Jak procvičit biceps - Jednoručky kladivový úchop
67	HqSHfpGhWIs	Jak procvičit biceps - Jednoručky s rotací
68	vMNXEaRzdUg	Jak procvičit biceps - Jednoručky základ
69	cvUPCLQdVwc	Jak procvičit biceps - V prodloužení
70	dpY8lic8J_E	Jak procvičit biceps - Scottova lavice kladivový úchop
71	P1VlCAxBTJw	Jak procvičit biceps - Scottova lavice základy
72	5TZHaSokI54	Jak procvičit biceps - Scottova lavice rovná tyč
73	_AbaIf4rEzU	Jak Správně Procvičit Biceps
74	MexkWU6KjFI	Jak procvičit biceps - Lomená tyč široký úchop
75	lRYiCoX9Piw	Jak procvičit biceps - Lomená tyč úzký úchop
76	WpaySOlAWr8	Jak začít cvičit
77	Tj3Gwl-6ZwI	Jak mít správné držení těla
78	Cr18TQ77aa8	Rozhovor s klienty - Rozhovor s Matěj Misař
79	tB1EHgtZjTk	Bloncka se ptá Coache - Potřebuji přerušované hladovění, abych zhubla?
80	WTVKXnWKQkY	Bloncka se ptá Coache - Proč nehubnu, i když jím zdravě
81	aqvkEiRN6b4	Bloncka se ptá Coache - Úvod
82	2VXE7IpgIeU	Bloncka se ptá Coache - Potřebuji kupovat BIO/Fit potraviny?
83	Ysv9FaOAzu8	Bloncka se ptá Coache - Potřebuji k hubnutí spalovače?
84	u7UF9cEftu4	Bloncka se ptá Coache - Rychlé hubnutí před dovolenou
85	42wgUAyTMRw	Bloncka se ptá Coache - Jaké sportovní aktivity jsou nejefektivnější pro hubnutí?
86	JfVqnfPv8b0	Bloncka se ptá Coache - Jak zpevnit postavu?
87	FmIu7IQQZU8	Bloncka se ptá Coache - Mají muži lepší dispozice pro nabírání svalů než ženy?
88	nsJpnshhnPE	Bloncka se ptá Coache - Jak vybrat nejlepšího trenéra?
89	_DdjaHsucfg	Bloncka se ptá Coache - Proč mám velké nohy?
90	7cPgfQ0N9xc	Bloncka se ptá Coache - Jak cvičit doma?
91	X4wr6B5imzg	Bloncka se ptá Coache - Jak mít hezké břicho?
92	dLB8HU-stB0	Bloncka se ptá Coache - Jak cvičit s artrózou?
93	X5mxDSmMGO8	Domácí intervalový trénink na celé tělo
94	ScTnC2p5kwg	Domácí kruháč s Natálkou
95	zYc-De_eo0k	Domácí kruháč nohy a břicho
96	lsqCIIMmywU	Domácí kruháč nohy a střed
97	-F6V7nlYsz4	Domácí kruháč celé tělo
98	QLUTLHVzf2M	Domácí trénink vršek těla
99	uDMGe9YjXOQ	Domácí kruháč nohy
100	nYqmn-1ZN88	Domácí trénink břicho
101	9NiwzDSuIjw	Domácí trénínky úvod
102	4qQEkwnMlj4	Rozhovor - MUDr. Marie Skalská
103	5WexzPAf8AY	Rozhovor - Mgr. Ing. Tereza Vágnerová
104	7rEDRsyNwEE	Studie: Přerušované hubnutí
105	IQ2XtPr7tMs	Studie: Alkohol a atletický výkon
106	MiIGjV-F830	Studie: Strava a záněty
107	ka5hmu7lcDg	Studie: Rozdělení bílkovin do jídel a svaly
108	m_zIXC8OWTo	Studie: Keto dieta vs Vysokosacharidová dieta
109	oaBxpKlMPWI	Domácí trénink - BŘICHO
110	A3eZ4b9RV4s	Domácí trénink - NOHY
111	L83N25-svw4	Kruhový trénink na doma 1
112	ymIG60CMYMc	Opakování v rezervě
113	MsPq9nUVTv4	Progresivní přetížení
114	iXCVJDk8-TY	BCAA
115	qvUmWPjOgx0	Ketogenní dieta a maximalizace svalového růstu
116	Gm2QHnJRyKA	Fitness trénink - Opakování v rezervě (Reps In Reserve)
117	hO4Zu7AhBCs	Proč vám nefungují vypočtené kcal cíle / nepřesnosti vážení a zapisování jídel
118	L6KP3Jes_sQ	Záznam live streamu na závodech s klientkou Verčou Bikini Fitness, 1. Místo ženy, 1. místo juniorky
119	l_2VPypWLXk	Kalorie a jejich role v našem životě
120	f6FIw2XHyR4	Update členská sekce: pravidelné maily a týdenní úkoly
121	AP8HgHmbTFI	Makroživiny a mikroživiny
122	4Gl_piQr6RM	Bílkoviny a cvičení
123	Rg2HO63aDcg	Cheat day / cheat meal v praxi
124	N3DIVoyZedw	Klíč k hubnutí
125	KEi1NSRniW0	Složení jídelníčku
126	nJZijxAG9oc	Termický Efekt Jídla = Ztráty energie při trávení
127	rAbX5H0s1cs	2. Mail členská sekce - týdenní úkoly
128	sM0wAjTk81c	Období po dietě / reverzní dieta / přechod na intuitivní stravování / nabírání svalů s minimem tuků
129	fOCvcMPU7vo	1. Livestream členská sekce
130	CZgFrmfNNJ4	Jojo efekt
131	NHxYKYkQEvA	Načasování jídel
132	Kc0g5Bu_HAg	Jak mít pravidelné výsledky?
133	1PlbJ547sU8	2. Livestream členská sekce
134	3j1SPGqvoMc	Analogie na hubnutí
135	w4IuZdO23pw	Jak funguje můj online coaching pro hubnutí?
136	JSJDgQN-xPI	Alkohol a hubnutí
137	Hqc4rZ3PUpE	3. Livestream členská sekce
138	jv6IX7tMp_U	Ovoce vs sušenka / zpracované vs čerstvé potraviny
139	J9CkUn7Pc-s	Jak funguje můj online coaching pro hubnutí
140	7hGViNRKZPA	Maso vs proteinový prášek
141	WCiyKX6vqiU	Jak nemít chutě
142	gj8-8refQJA	4. Livestream členská sekce
143	YwDub73D-js	Dieta a záněty
144	hhkk4AWIKaw	Ketogenní dieta vs sacharidy
145	Sn5mRQZCjGc	Jak poznat že cvičím až moc často?
146	OjSYhrf7_4I	Proč hubnu v různých fázích diety na různém množství kcal?
147	o4CphPZuFpA	Způsobuje aspartam rakovinu?
148	3jCP7D54Z3g	5. Livestream členská sekce
149	_jDaJCV_xc8	6. Livestream členská sekce
150	jGxlOUx5_qo	Praktické tipy a otázky klientů 1
151	xqXu0S8PGrM	Reels 27 Nevzdávej se
152	nTd4_gS-KG8	Praktické tipy a otázky klientů 2
153	wkYq6IAVca8	7. Livestream členská sekce
154	DTPYlQttluE	8. Livestream členská sekce
155	-_BBISP5QYc	Ukázka z mé přednášky v kině 🎤
156	Li41_Z33hOE	9. Livestream členská sekce
157	q7srTq1Tsuw	10. Livestream členská sekce
158	3K5Mhogpx_4	11. Livestream členská sekce
159	YFXtGc-ALXI	12. Livestream členská sekce
160	v4kJlTfcKmA	Jak nakoupit DIETNĚ a FITNESS v LIDL
161	6ydMPGvF_hU	Jak nakoupit DIETNĚ a FITNESS v JIP 1. díl
162	xRUZBLxtAUY	Jak nakoupit DIETNĚ a FITNESS v JIP - Verze pro klienty :)
163	sdAiDTcI68w	Jak nakoupit DIETNĚ a FITNESS v JIP 2. díl
164	EPk1_CwG5ZI	Jak co NEJLEVNĚJI nakoupit DIETNÍ jídla v Tesco
165	fLpIhaI01us	13. Livestream členská sekce
166	_-k0h2XY-FM	14. Livestream členská sekce
167	fXVdyDBZnYw	15. Livestream členská sekce
168	CesDR676vfI	16. Livestream členská sekce
169	Mh4IzV3dI3s	17. Livestream členská sekce
170	nkcY-A0fxnY	18. Livestream členská sekce
171	AYsaEcAe3iM	19. Livestream členská sekce
172	J_C5iUsJBxE	LIVESTREAM ZDARMA PRO ZÁKAZNÍKY a KLIENTY martinbarna.cz
173	m8lAjdQmiAA	Jak překonat stagnaci při hubnutí a udržet motivaci.
174	rh75bQm5L6U	Návštěva České televize Jak si správně vybrat trenéra
175	sQ40sVlPu8Q	Návštěva České televize Jak si správně vybrat trenéra 2
176	lo8H7Am_9YA	Livestream Členská Sekce 01/2025
177	1eqY73zNIPc	3 důvody PROČ se Vám vyplatí CVIČIT
178	rRIFwyoJr78	Přerušované hladovění vs jiné formy stravování
179	nx-pGOny5tI	Lze hubnout i s ALKOHOLEM a SLADKÝM?
180	Y9qgJ7KsMLM	Livestream Členská Sekce 02/2025
181	r173RlSl3v8	NOVĚ! AI APLIKACE ve VIDEOKURZU
182	Y0S9_VPWBxM	Jak zvýšit množství vlákniny v dietním jídelníčku?
